ip_addr,port,ip version,end point,count,sum of frame size,packet/s,Throughput,
158.108.142.146,20480,0,0,3217.0,197290.0,53.6166666666667,3288.16666666667,
158.108.14.137,20480,0,0,3176.0,190560.0,52.9333333333333,3176.0,
74.125.102.8,61961,0,1,3054.0,190300.0,50.9,3171.66666666667,
158.108.181.46,43246,0,0,2935.0,1225790.0,48.9166666666667,20429.8333333333,
59.29.231.70,32489,0,1,2935.0,1225790.0,48.9166666666667,20429.8333333333,
158.108.192.150,15629,0,0,2848.0,187088.0,47.4666666666667,3118.13333333333,
158.108.234.247,20480,0,0,2776.0,166560.0,46.2666666666667,2776.0,
158.108.141.99,20480,0,0,2770.0,167391.0,46.1666666666667,2789.85,
158.108.111.182,20480,0,0,2764.0,180552.0,46.0666666666667,3009.2,
110.164.180.144,60635,0,1,2757.0,165420.0,45.95,2757.0,
158.108.245.119,20480,0,0,2746.0,219373.0,45.7666666666667,3656.21666666667,
61.19.12.41,53188,0,1,2745.0,164700.0,45.75,2745.0,
158.108.131.2,20480,0,1,2719.0,3773728.0,45.3166666666667,62895.4666666667,
158.108.108.226,20480,0,0,2712.0,167770.0,45.2,2796.16666666667,
202.28.85.12,49356,0,1,2712.0,167770.0,45.2,2796.16666666667,
158.108.117.191,20480,0,0,2703.0,209693.0,45.05,3494.88333333333,
158.108.118.54,47873,0,0,2702.0,225339.0,45.0333333333333,3755.65,
202.129.205.38,5869,0,0,2692.0,3264172.0,44.8666666666667,54402.8666666667,
158.108.117.43,16388,0,1,2692.0,3264172.0,44.8666666666667,54402.8666666667,
158.108.147.63,47873,0,0,2675.0,415759.0,44.5833333333333,6929.31666666667,
27.55.165.3,20480,0,1,2635.0,3693660.0,43.9166666666667,61561.0,
118.174.103.7,20480,0,0,2623.0,246376.0,43.7166666666667,4106.26666666667,
158.108.148.139,20480,0,0,2620.0,158080.0,43.6666666666667,2634.66666666667,
202.28.85.79,2499,0,1,2620.0,158080.0,43.6666666666667,2634.66666666667,
158.108.119.62,20480,0,0,2611.0,167178.0,43.5166666666667,2786.3,
74.125.96.242,47816,0,1,2611.0,167178.0,43.5166666666667,2786.3,
202.28.85.14,23250,0,1,2603.0,163998.0,43.3833333333333,2733.3,
59.29.231.70,32489,0,0,2585.0,3052985.0,43.0833333333333,50883.0833333333,
158.108.181.46,43246,0,1,2585.0,3052985.0,43.0833333333333,50883.0833333333,
158.108.193.33,20480,0,0,2580.0,167917.0,43.0,2798.61666666667,
203.151.20.96,30670,0,1,2552.0,161202.0,42.5333333333333,2686.7,
158.108.180.192,47873,0,0,2510.0,157097.0,41.8333333333333,2618.28333333333,
158.108.154.163,47873,0,1,2497.0,2312075.0,41.6166666666667,38534.5833333333,
158.108.117.243,20480,0,0,2487.0,163323.0,41.45,2722.05,
158.108.67.44,21877,0,0,2410.0,3566800.0,40.1666666666667,59446.6666666667,
180.183.161.191,29058,0,1,2410.0,3566800.0,40.1666666666667,59446.6666666667,
158.108.232.173,20480,0,1,2401.0,3340192.0,40.0166666666667,55669.8666666667,
158.108.245.68,20480,0,0,2399.0,158211.0,39.9833333333333,2636.85,
202.28.85.78,12738,0,1,2397.0,157451.0,39.95,2624.18333333333,
158.108.244.102,20480,0,0,2379.0,144825.0,39.65,2413.75,
158.108.40.110,20480,0,0,2378.0,143472.0,39.6333333333333,2391.2,
202.28.85.15,23008,0,1,2378.0,143472.0,39.6333333333333,2391.2,
203.155.220.231,62914,0,0,2343.0,3335779.0,39.05,55596.3166666667,
158.108.118.189,20480,0,0,2337.0,153181.0,38.95,2553.01666666667,
110.77.196.114,4672,0,0,2306.0,1445559.0,38.4333333333333,24092.65,
158.108.108.199,4672,0,1,2306.0,1445559.0,38.4333333333333,24092.65,
74.125.215.208,14820,0,0,2286.0,3241480.0,38.1,54024.6666666667,
158.108.136.202,47873,0,1,2286.0,3241480.0,38.1,54024.6666666667,
158.108.45.241,20480,0,1,2264.0,2993129.0,37.7333333333333,49885.4833333333,
158.108.230.119,20480,0,0,2255.0,137698.0,37.5833333333333,2294.96666666667,
202.28.85.76,33801,0,1,2255.0,137698.0,37.5833333333333,2294.96666666667,
158.108.225.36,47873,0,1,2215.0,3167862.0,36.9166666666667,52797.7,
74.125.215.115,48851,0,0,2209.0,3166772.0,36.8166666666667,52779.5333333333,
202.28.85.12,8466,0,1,2175.0,138431.0,36.25,2307.18333333333,
173.194.49.110,50154,0,1,2149.0,133654.0,35.8166666666667,2227.56666666667,
173.194.49.110,49642,0,1,2093.0,126270.0,34.8833333333333,2104.5,
112.209.245.226,47009,0,0,2077.0,1497705.0,34.6166666666667,24961.75,
158.108.181.46,41556,0,1,2077.0,1497705.0,34.6166666666667,24961.75,
158.108.101.30,52085,0,0,2072.0,134452.0,34.5333333333333,2240.86666666667,
223.27.214.2,45419,0,1,2072.0,134452.0,34.5333333333333,2240.86666666667,
158.108.245.110,47873,0,0,2070.0,129660.0,34.5,2161.0,
74.125.213.240,11304,0,1,2070.0,129660.0,34.5,2161.0,
158.108.210.1,20480,0,0,2058.0,140154.0,34.3,2335.9,
158.108.181.46,41556,0,0,2058.0,129092.0,34.3,2151.53333333333,
112.209.245.226,47009,0,1,2058.0,129092.0,34.3,2151.53333333333,
